Année;2019;2020;2021;2022
Amende administrative non publique;2;2;5;2
avec injonction;2;0;2;1
sans injonction;0;2;3;1
Amende administrative publique;5;9;10;13
avec injonction;2;5;3;4
sans injonction;3;4;7;9
Injonction seule non publique;1;1;0;0
Injonction seule publique;0;0;0;0
Rappel à l'ordre non public;0;0;0;0
Rappel à l'ordre public;0;2;2;0
Autres mesures non publiques prévues par l'article 20 LIL ;0;0;1;2
Autres mesures publiques prévues par l'article 20 LIL ;0;0;0;0
Relaxes/non-lieu;2;1;0;1
Total;10;15;18;18
Amende administrative non publique dans le cadre de la procédure simplifiée;0;0;0;4
avec injonction;0;0;0;2
sans injonction;0;0;0;2
Total;0;0;0;4
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
