annee,budget_total,dont_personnel_titre_2,dont_fonctionnement
2000,4971196,3344612,1626584
2001,6148190,3858057,2290133
2002,6416811,4120572,2296239
2003,6477044,4378522,2098522
2004,6930293,4567131,2363162
2005,7308908,4847943,2460965
2006,9160892,5324613,3836279
2007,9687265,6115756,3571509
2008,11045120,7139068,3906052
2009,13052173,8232623,4819550
2010,14465811,9265440,5200371
2011,15525814,10249617,5276197
2012,16900335.003,11265452.685,5634882.318
2013,16926309,11661922,5264387
2014,17484805,12334691,5150114
2015,18298779,13090783,5207996
2016,18710002.945,13842840.985,4867161.96
2017,17008455.85,14088831.85,2919624.0
2018,17746204,14402426,3343778
2019,18506734,15162970,3343764
2020,20143890,16710552,3433338
2021,21510782,18017267,3493515
2022,24297762.84,20000658.18,4297104.66
2023,26221045.83,22190527.83,4030518.0
2024,27636862.75,23840922.48,3795940.27
