categorie_de_controle,modalite_de_controle,organismes,dept,ville,activite_de_lorganisme
RGPD,en ligne,CALL HYBRID,75.0,PARIS,Commerce
RGPD,sur audition,CALL HYBRID,75.0,PARIS,Commerce
RGPD,en ligne,BRICO PRIVE,31.0,L'UNION,Commerce
RGPD,en ligne,PEPPER DRINK ,35.0,VITRE,Commerce
RGPD,en ligne,PEPPER DRINK ,35.0,VITRE,Commerce
RGPD,sur audition,CONFEDERATION FRANÇAISE DEMOCRATIQUE DU TRAVAIL (CFDT),75.0,PARIS,Travail
RGPD,sur place,ACCOR,92.0,ISSY LES MOULINEAUX,Commerce
RGPD,en ligne,ACCOR,92.0,ISSY LES MOULINEAUX,Commerce
RGPD,en ligne,NESTOR,92.0,LEVALLOIS-PERRET,Commerce
RGPD,sur pièces,SFK GROUP,26.0,ROMANS SUR ISERE,Commerce
RGPD,sur place,CHU DE TOULOUSE,31.0,TOULOUSE,Santé 
RGPD,sur audition,OMNICOM PUBLIC RELATIONS GROUP,92.0,BOULOGNE-BILLANCOURT,Statistiques et enquêtes publiques 
RGPD,sur audition,CONFEDERATION FRANCAISE DES TRAVAILLEURS CHRETIENS,75.0,PARIS,Travail
RGPD,sur audition,CONFEDERATION GENERALE DU TRAVAIL FORCE OUVRIERE,75.0,PARIS,Travail
RGPD,sur place,CTS COMPUTERS AND TELECOMMUNICATION,93.0,MONTREUIL,Télécommunications
RGPD,en ligne,LES DERNIERS SERONT LES PREMIERS / VALORY INVESTISSEMENTS ,75.0,PARIS,Commerce
RGPD,sur place,CONSEIL SUPERIEUR DU NOTARIAT,75.0,PARIS,Régalien
RGPD,sur pièces,SEPHORA,92.0,NEUILLY SUR SEINE,Commerce
RGPD,sur place,STANLEY SECURITY FRANCE,13.0,VITROLLES,Régalien
RGPD,sur audition,WORKINGOO,75.0,PARIS,Travail
RGPD,sur place,FREE,75.0,PARIS,Télécommunications
RGPD,sur place,FREE,75.0,PARIS,Télécommunications
RGPD,sur audition,DIGITALEBOX,75.0,PARIS,Activités politiques
RGPD,sur place,SARL DILLARD,76.0,LE HAVRE,Commerce
RGPD,sur place, PHARMAGEST INTERACTIVE,54.0,VILLERS-LES-NANCY,Santé 
RGPD,en ligne,LES PREMIERS SERONT LES DERNIERS / VALORITY INVESTISSEMENT,75.0,PARIS,Commerce
RGPD,sur pièces,BONPORN / MUSTVIDEOS,59.0,ROUBAIX,Commerce
RGPD,sur pièces,MANGAS IO,59.0,ROUBAIX,Commerce
RGPD,sur pièces,BEBINOU,59.0,ROUBAIX,Santé 
RGPD,sur place,LOTOMATE,75.0,PARIS,Social
RGPD,sur pièces,WEWORK,75.0,PARIS,Travail
RGPD,sur pièces,PPBO,75.0,PARIS,Jeux
RGPD,en ligne,DEVOLA,75.0,PARIS,Commerce
RGPD,sur audition,DEVOLA,42.0,CALOIRE,Commerce
