type_de_controle,modalite_de_controle,organismes,dep,lieu,secteur_dactivite
RGPD,sur place,FAMILY SPHERE,75.0,PARIS,Social
RGPD,en ligne,WHATSAPP,75.0,PARIS,Commerce
RGPD,en ligne,LUSHA.CO,75.0,PARIS,Commerce
RGPD,sur audition,LUSHA.CO,75.0,PARIS,Commerce
RGPD,sur place,LGHA AUTO,75.0,PARIS,Commerce
RGPD,sur place,JB CONCEPT,38.0,ECHIROLLES,Commerce
RGPD,sur place,CLERMONT FERRAND DISTRIBUTION,63.0,CLERMONT-FERRAND,Commerce
RGPD,sur place,NOMAD EDUCATION,75.0,PARIS,Education
RGPD,sur place,DIGISCHOOL,69.0,LYON,Education
RGPD,sur place,BK CONSULTING FRANCE ,92.0,NANTERRE,Commerce
RGPD,sur place,RIMINDER,92.0,BOULOGNE-BILLANCOURT,Travail
RGPD,sur place,SYNLAB FRANCE,75.0,PARIS,Santé 
RGPD,sur audition,"QEAT ""QUI EST A TABLE""",75.0,PARIS,Commerce
RGPD,sur place,MAIRIE D'AULNAY-SOUS-BOIS,93.0,AULNAY-SOUS-BOIS,Collectivités territoriales
DIRECTIVE,sur place,TELEM TELESURVEILLANCE,13.0,MARSEILLE,Régalien
DIRECTIVE,sur place,MINISTERE DE L'INTERIEUR ,69.0,PARIS,Régalien
DIRECTIVE,sur place,MINISTERE DE L'INTERIEUR ,69.0,PARIS,Régalien
DIRECTIVE,sur place,COMMISSARIAT BOULOGNE-BILLANCOURT,92.0,BOULOGNE-BILLANCOURT,Régalien
DIRECTIVE,sur place,TRIBUNAL DE GRANDE INSTANCE DE PARIS,75.0,PARIS,Régalien
DIRECTIVE,sur place,TRIBUNAL DE GRANDE INSTANCE DE PARIS,75.0,PARIS,Régalien
DIRECTIVE,sur place,COUR D'APPEL DE PARIS,75.0,PARIS,Régalien
DIRECTIVE,sur pièces,TRIBUNAL DE GRANDE INSTANCE DE LONS LE SAUNIER,39.0,LONS LE SAUNIER,Régalien
DIRECTIVE,sur pièces,TRIBUNAL DE GRANDE INSTANCE D'ANGERS,49.0,ANGERS,Régalien
DIRECTIVE,sur pièces,TRIBUNAL DE GRANDE INSTANCE DE FORT DE FRANCE ,97.0,FORT DE France,Régalien
DIRECTIVE,sur pièces,COURS D'APPEL DE VERSAILLES,78.0,VERSAILLES,Régalien
DIRECTIVE,sur place,"MAIRIE DE MARSEILLE
",13.0,MARSEILLE,Collectivités territoriales
RGPD,sur place,ARTEX ASSURANCES,49.0,SAUMUR,Assurance
RGPD,sur place,GROUPE PATUS,83.0,SAINT-RAPHAEL,Assurance
RGPD,sur place,REMADE,50.0,POILLEY,Commerce
RGPD,sur place,PEPPER DRINK,35.0,VITRE,Commerce
RGPD,sur place, BACK MARKET,75.0,PARIS,Commerce
RGPD,sur place,AVANSSUR ,92.0,SURESNES,Assurance
RGPD,sur place,AVANSSUR,75.0,PARIS,Assurance
RGPD,sur place,SOGESSUR,92.0,PARIS LA DEFENSE,Assurance
RGPD,sur place,BOUTIQUE AERO,31.0,BLAGNAC,Commerce
RGPD,sur place,MMA IARD ASSURANCES MUTUELLES,72.0,LE MANS,Travail
RGPD,sur place,MMA IARD ASSURANCES MUTUELLES,72.0,SAINT HERBLAIN,Travail
RGPD,sur place,MAIRIE DE PARIS,75.0,PARIS,Collectivités territoriales
