annee,controles_realises,dont_controles_videoprotection,dont_controles_en_ligne,dont_autres_controles_loi_iandl_rgpd
1990,34.0,,,
1991,34.0,,,
1992,30.0,,,
1993,20.0,,,
1994,15.0,,,
1995,25.0,,,
1996,20.0,,,
1997,21.0,,,
1998,33.0,,,
1999,32.0,,,
2000,25.0,,,
2001,23.0,,,
2002,52.0,,,
2003,31.0,,,
2004,45.0,,,
2005,96.0,,,
2006,135.0,,,
2007,164.0,,,
2008,218.0,,,
2009,270.0,,,
2010,308.0,,,
2011,385.0,151.0,,234.0
2012,458.0,173.0,,285.0
2013,414.0,130.0,,284.0
2014,421,88,58,275
2015,510,87,155,268
2016,430,94,101,235
2017,341,47,65,229
2018,310,20,51,239
2019,301,10,53,238
2020,247.0,,82.0,165.0
2021,384.0,,173.0,211.0
2022,345.0,,128.0,217.0
