nature_du_marche,tranche_de_montant_minimum_ht,tranche_de_montant_maximum_ht,objet_du_marche,date_de_notification,nom_de_lattributaire,code_postal_de_lattributaire,montant_du_marche_forfait_annuel_ht,montant_minimum_du_marche__montant_minimum_pour_la_partie_unitaire_ht,montant_maximum_du_marche__montant_maximum_pour_la_partie_unitaire_ht
Services,20000,90000.0,"Prestation de gestion d'abonnements 
papiers ou élecroniques",2014-03-19,PRENAX,92400,,0.0,45000.0
Services,20000,90000.0,LOT 1 : Mise à disposition d'un extranet de veille sur internet,2014-04-23,ARGUS DE LA PRESSE,75018,7560.0,,
Services,20000,90000.0,LOT 2 : Mise à disposition d'un extranet d'analyse de l'e-réputation,2014-04-23,SYNTHESIO,75017,12000.0,,
Services,20000,90000.0,Mise à disposition d'une plateforme de gestion de suivi des relations presse pour le service Communication,2014-04-14,EUDOWEB,92400,8000.0,0.0,5000.0
Services,20000,90000.0,Prestations pour Noël pour les enfants des agents de la CNIL - Lot 3 : Prestation d'animation,2014-11-25,LUDOMONDE,75020,4600.0,,
Services,20000,90000.0,Entretien des installations de climatisation de la CNIL,2014-06-13,ALM FROID,78955,5000.0,,
Services,90000,134000.0,Gardiennage et télésurveillance,2014-05-01,UGAP,77444,74061.0,,
Services,90000,134000.0,Tierce maintenance sites internet et intranet,2014-05-20,UGAP,77444,34249.0,,
Services,90000,134000.0,Audit technique et fonctionnel du S.I. métier CNIL,2014-05-23,UGAP,77444,30715.0,,
Services,134000,,Prestation de nettoyage des locaux de la CNIL au 8 et 12 rue Vivienne,2014-09-01,UGAP,77444,163194.0,,
Fournitures,20000,90000.0,Prestations pour Noël pour les enfants des agents de la CNIL - Lot 1 : Fourniture de jouets,2014-10-30,LUDENDO,77706,,0.0,5000.0
Fournitures,20000,90000.0,Prestations pour Noël pour les enfants des agents de la CNIL - Lot 2 : Fourniture de chèques cadeaux,2014-12-01,EDENRED France,92240,,0.0,7000.0
Fournitures,90000,134000.0,"Acquisition et maintenance de serveurs, baies de stockage et unités de sauvegarde",2014-05-02,ANTEMETA,78280,3200.0,0.0,100000.0
